,name,user_name,date,content
0,Susan King,@suki50,2020-09-30T20:29:35.000Z,"#JoyceEchaquan was just 37.  She deserved so much better. Her seven children deserved so much better. Long may her memory haunt Quebecers & Canadians and motivate us to finally honour treaties, stop racism & respect the human rights of Indigenous people."
1,Jen The Feisty Librarian,@Feisty_Waters,2020-09-30T22:09:24.000Z,"None of these people alone can make the serious change needed, but together they can bring it to individuals in the municipal, provincial and federal levels who are involved in funding and decision making."
2,Jen The Feisty Librarian,@Feisty_Waters,2020-09-30T22:11:49.000Z,"The intergenerational trauma caused by residential schools, 60s scoop, missing and murdered Indigenous girls and women, foster care system and overall racism is an awful part of Canada’s colonial past and present. It will take all of us settlers to help change the system. (End)"
3,George#VotesBlueAlways,@Numbers28,2020-09-30T18:52:00.000Z,The rich got their largess from the rightward tilt of the political system in this country. Rest of us got screwed. This is the reason why I always say that people are mad at the wrong people. How do we get people who claim to have been forgotten to know their real enemies?
4,George#VotesBlueAlways,@Numbers28,2020-09-30T18:52:01.000Z,"The corrupt, reactionary, racist, xenophobic, pathological lying and far right GOP want to destroy the economic safety net programs that most of us depend on especially after retirement (if we can retire at all) in Social Security and Medicare if we let them. They don't care."
5,charlie // amáyá,@GrandmaSaidNo,2020-09-30T19:04:18.000Z,This wasn’t just a casual racist act. This was murder. The healthcare systems in what is now known as Canada and the US have histories of ignoring and systematically killing Indigenous Peoples.
6,HitBoy Rose,@OmariRose,2020-09-30T22:01:46.000Z,So you comparing yourself too an animal lol
7, Luna's Intuition ,@LunasIntuition,2020-09-30T22:06:16.000Z,"Are we really smarter than animals?The earth was breathing fine before us two legged animals began destroying it.Even with all these racist, homophobics, terrorists out here... How are we not animals?"
8,Buwayahman,@buwayahman,2020-09-30T23:38:08.000Z,It’s crystal clear that Trump is a racist. That’s evident from the debate. What I really cannot understand is how Filipinos in the US continue to support him.  Do they really think of themselves as “white?”
9,Sherry ☭☭,@SherryKDA,2020-09-30T21:27:23.000Z,Did you just call the US a first world country and left out to call Germany one too? And did you also just say that the US has one of the lease problems with racism? That’s pretty delusional ngl
10,Flint Flint,@aflintflint,2020-09-30T20:50:14.000Z,"You want to paint a house yellow. You go to the store. The salesperson offers you a can of red paint. You say you don't want that. He says if you pass on this, your only other choice is ""that""...pointing at another can of red paint. You say that's the same color.He is FURIOUS."
11,Flint Flint,@aflintflint,2020-09-30T23:01:36.000Z,"Absolutely loving the very-not-racist ""you live in a shithole and you're criticizing the US"" responses.I live in a shithole in large part due to the 1980 coup.Which was backed by the US government.Under President Carter, a Democrat.But please do go on."
